cga,lm
0.0073787,0.02134735
0.1191642,0.02134735
0.0692897,0.02134735
0.1202166,0.02134735
0.1244963,0.02134735
0.0662827,0.02134735
0.0031476,0.02134735
0.0003338,0.02134735
0.0160616,0.02134735
0.0171137,0.02134735
0.0231031,0.02134735
0.06611755,0.02134735
0.00512005,0.02134735
0.0242293,0.02134735
0.0110411,0.02134735
0.06746235,0.02134735
0.0005047,0.02134735
0.1135933,0.02134735
0.02034115,0.02134735
0.010251,0.02134735
0.02918,0.02134735
0.0445232,0.02134735
0.04488715,0.02134735
0.1052705,0.02134735
0.0088357,0.02134735
0.032747,0.02134735
0.03740575,0.02134735
0.004329,0.02134735
0.03532665,0.02134735
0.0357644,0.02134735
0.08398175,0.02134735
0.0055716,0.02134735
0.0055048,0.02134735
0.0347757,0.02134735
0.0021572,0.02134735
0.0478391,0.02134735
0.0131886,0.02134735
0.10591955,0.02134735
0.04128155,0.02134735
