1,npts,nout,solution,value obtained,internal it,external it,ndif,time
sphere3D_-100.4_49.2_-21.2_82.0_12.csv,42,12,"[-100.4, 49.2, -21.2, 82.0]","[-100.40000000000002, 49.20000000000001, -21.20000000000001, -82.0]",126,6,3.197442310920451e-14,0.00042785
sphere3D_-100.7_-5.9_-116.4_6.0_6.csv,21,6,"[-100.7, -5.9, -116.4, 6.0]","[-100.70000000020418, -5.900000001189233, -116.39999999925548, -5.999999999826651]",44,7,2.3112844971251434e-9,0.0001255
sphere3D_-104.5_-5.3_-111.8_135.0_6.csv,20,6,"[-104.5, -5.3, -111.8, 135.0]","[-105.74345437710735, -2.030081083430474, -106.62964595718388, -129.68512985900514]",35,4,14.998597477487852,8.91e-5
sphere3D_-107.1_83.9_9.3_22.0_8.csv,27,8,"[-107.1, 83.9, 9.3, 22.0]","[-107.10000000007723, 83.89999999968103, 9.300000000212034, -21.999999999975593]",37,5,6.32653041066078e-10,0.0001113
sphere3D_-108.3_119.6_-90.2_127.0_2.csv,9,2,"[-108.3, 119.6, -90.2, 127.0]","[-108.29999999999981, 119.59999999999998, -90.20000000000012, -127.00000000000024]",39,5,5.542233338928781e-13,8.41e-5
sphere3D_-117.3_0.9_-101.5_168.0_9.csv,31,9,"[-117.3, 0.9, -101.5, 168.0]","[-117.3, 0.8999999999999995, -101.5, 168.00000000000003]",131,8,2.8976820942716586e-14,0.00040315
sphere3D_-17.7_88.9_-106.0_166.0_14.csv,48,14,"[-17.7, 88.9, -106.0, 166.0]","[-17.7, 88.89999999999999, -105.99999999999999, 166.0]",48,6,2.842170943040401e-14,0.00018055
sphere3D_-18.5_44.2_98.9_94.0_11.csv,37,11,"[-18.5, 44.2, 98.9, 94.0]","[-18.49999999999998, 44.2, 98.9, -94.00000000000004]",42,5,6.394884621840902e-14,0.00014015
sphere3D_-23.8_-38.4_-1.5_8.0_9.csv,33,9,"[-23.8, -38.4, -1.5, 8.0]","[-23.800000000009597, -38.39999999994801, -1.5000000000274765, -7.999999999997327]",37,7,9.173617421254221e-11,0.0001309
sphere3D_-24.0_-62.2_-101.2_93.0_13.csv,45,13,"[-24.0, -62.2, -101.2, 93.0]","[-23.99999999999835, -62.19999999999974, -101.19999999999989, -93.00000000000253]",82,8,4.554578936222242e-12,0.000285
sphere3D_-28.2_58.4_58.5_128.0_12.csv,41,12,"[-28.2, 58.4, 58.5, 128.0]","[-28.19999999999999, 58.39999999999999, 58.50000000000001, 128.0]",51,6,2.4868995751603507e-14,0.00018175
sphere3D_-28.6_-83.3_-64.5_153.0_13.csv,44,13,"[-28.6, -83.3, -64.5, 153.0]","[-28.60000000000001, -83.3, -64.5, 153.0]",52,6,7.105427357601002e-15,0.00019245
sphere3D_-28.9_22.4_106.7_89.0_8.csv,28,8,"[-28.9, 22.4, 106.7, 89.0]","[-28.89999999999999, 22.4, 106.7, -89.0]",42,5,7.105427357601002e-15,0.00012895
sphere3D_-3.9_4.0_69.5_97.0_3.csv,13,3,"[-3.9, 4.0, 69.5, 97.0]","[-1.1868146291783812, 5.610316592926877, 68.92678203861193, 96.64590395278739]",41,4,5.25081597234917,"9,54E-02"
sphere3D_-35.1_77.0_-9.2_83.0_5.csv,18,5,"[-35.1, 77.0, -9.2, 83.0]","[-35.10000000000004, 76.99999999999994, -9.199999999999973, 83.0]",32,6,1.1901590823981678e-13,"8,36E-02"
sphere3D_-35.8_88.7_-80.6_129.0_2.csv,9,2,"[-35.8, 88.7, -80.6, 129.0]","[-30.555485440183123, 77.55700690479132, -72.31720670851278, 124.70860108466641]",27,3,28.961699861846352,"5,78E-02"
sphere3D_-37.4_-95.7_-99.4_159.0_5.csv,17,5,"[-37.4, -95.7, -99.4, 159.0]","[-28.356363768652855, -91.02211090942741, -100.77244742979653, 158.1204951237009]",43,5,15.973477628015367,0.0001063
sphere3D_-38.3_-59.4_18.0_111.0_6.csv,21,6,"[-38.3, -59.4, 18.0, 111.0]","[-38.300000000000004, -59.39999999999997, 17.999999999999996, 111.00000000000004]",69,6,8.171241461241152e-14,0.0001792
sphere3D_-39.9_28.6_15.6_112.0_13.csv,45,13,"[-39.9, 28.6, 15.6, 112.0]","[-39.900000000000006, 28.599999999999998, 15.599999999999998, 112.0]",73,5,1.2434497875801753e-14,0.0002424
sphere3D_-40.0_44.5_-69.2_29.0_9.csv,30,9,"[-40.0, 44.5, -69.2, 29.0]","[-39.999999999860876, 44.49999999927288, -69.19999999951841, -29.000000000023114]",55,9,1.3709495760849677e-9,0.0001766
sphere3D_-43.0_94.2_-92.9_130.0_11.csv,37,11,"[-43.0, 94.2, -92.9, 130.0]","[-42.99999999999993, 94.19999999999999, -92.90000000000002, -130.00000000000009]",113,6,1.8474111129762605e-13,0.0003563
sphere3D_-47.2_42.0_81.5_53.0_10.csv,36,10,"[-47.2, 42.0, 81.5, 53.0]","[-47.200000000000244, 41.999999999999304, 81.50000000000038, -52.9999999999999]",54,6,1.4210854715202004e-12,0.00018305
sphere3D_-50.3_-38.2_103.8_50.0_3.csv,10,3,"[-50.3, -38.2, 103.8, 50.0]","[-45.77497591537489, -43.081288790567655, 109.36767104419356, -52.05173141032517]",53,4,17.02571532971149,0.00011295
sphere3D_-51.8_-84.6_-82.8_144.0_5.csv,19,5,"[-51.8, -84.6, -82.8, 144.0]","[-37.82354681424988, -56.82455720553068, -86.61887152028048, 144.15163510121857]",44,4,45.722402601718485,0.0001121
sphere3D_-54.6_-106.3_-98.7_104.0_5.csv,19,5,"[-54.6, -106.3, -98.7, 104.0]","[-54.600000000000186, -106.30000000000102, -98.69999999999928, -103.9999999999999]",48,6,2.0321522242738865e-12,0.00012675
sphere3D_-58.0_-106.4_-56.9_25.0_4.csv,14,4,"[-58.0, -106.4, -56.9, 25.0]","[-57.36814289351362, -103.4496468042353, -56.26628732258719, -25.365238872071146]",28,4,4.58116185173504,"6,54E-02"
sphere3D_-58.5_115.1_17.7_42.0_14.csv,48,14,"[-58.5, 115.1, 17.7, 42.0]","[-58.50000000000019, 115.10000000000005, 17.699999999999978, -41.99999999999995]",37,5,3.197442310920451e-13,0.00014285
sphere3D_-62.4_79.4_-44.8_125.0_12.csv,40,12,"[-62.4, 79.4, -44.8, 125.0]","[-62.39999999999874, 79.40000000000029, -44.79999999999996, 125.00000000000485]",173,6,6.423306331271306e-12,0.00056505
sphere3D_-65.2_-95.9_-10.1_170.0_7.csv,24,7,"[-65.2, -95.9, -10.1, 170.0]","[-47.36055076561133, -70.8834712015412, -11.45124094219527, 167.2403163564642]",41,4,46.966902618578544,0.0001132
sphere3D_-67.8_-106.3_68.9_162.0_12.csv,42,12,"[-67.8, -106.3, 68.9, 162.0]","[-67.8, -106.3, 68.9, 162.0]",55,8,0.0,0.0002102
sphere3D_-69.3_22.2_89.2_155.0_11.csv,38,11,"[-69.3, 22.2, 89.2, 155.0]","[-69.3, 22.20000000000001, 89.2, 155.0]",80,6,1.0658141036401503e-14,0.00027165
sphere3D_-7.2_69.2_-71.4_166.0_2.csv,9,2,"[-7.2, 69.2, -71.4, 166.0]","[4.627199260580463, 67.23042034042582, -59.12517833696646, 176.11435541874292]",40,4,36.18595600193111,8.54e-5
